Time, Buy Exchange, Sell Exchange, Buy Price, Sell Price, Amount, Profit, Buy Exchange Ask List, Sell Exchange Bid List
"3/7/2018 6:49:49 PM","Bitfinex","Btce","9841","9900.07","0.00354945","0.06952613","{9841, 0.08890003},{9843.8, 1.3358},{9843.9, 0.91968035},{9845, 0.4874},{9846.5, 4.91585093},{9846.6, 3},{9847.6, 0.3},{9847.7, 0.35},{9848.3, 0.04},{9848.6, 0.2}","{9900.07, 0.05381875},{9900, 0.69524824},{9870, 0.09703539},{9869.9, 0.00256},{9863.478, 0.66497723},{9862.884, 1.46993147},{9862.377, 0.003933},{9861.364, 0.00106},{9860.864, 1.92467354},{9857.718, 0.7163403}"
"3/7/2018 6:49:49 PM","Kraken","Btce","9843.20000","9900.07","0.00354653","0.04070347","{9843.20000, 0.330},{9845.40000, 0.133},{9847.90000, 0.500},{9849.70000, 1.000},{9852.20000, 5.990},{9854.80000, 0.052},{9857.90000, 1.000},{9858.00000, 5.698},{9859.80000, 1.000},{9860.00000, 3.000}","{9900.07, 0.05381875},{9900, 0.69524824},{9870, 0.09703539},{9869.9, 0.00256},{9863.478, 0.66497723},{9862.884, 1.46993147},{9862.377, 0.003933},{9861.364, 0.00106},{9860.864, 1.92467354},{9857.718, 0.7163403}"
"3/7/2018 6:49:55 PM","Bitfinex","Btce","9830.9","9900.07","0.00355309","0.10555541","{9830.9, 4.6087},{9831, 1.60323085},{9832, 0.4874},{9833.6, 2.307},{9833.8, 2},{9838.9, 1},{9839.9, 0.01466686},{9843.7, 2},{9843.9, 0.89968035},{9846.6, 2}","{9900.07, 0.05381875},{9900, 0.69524824},{9870, 0.09703539},{9869.9, 0.00256},{9862.377, 0.003933},{9850.947, 0.02003692},{9850, 0.250409},{9849, 0.01},{9848.638, 0.00217622},{9846.68, 0.00272}"
"3/7/2018 6:49:55 PM","Kraken","Btce","9842.30000","9900.07","0.00354685","0.04390515","{9842.30000, 0.980},{9843.60000, 0.090},{9843.70000, 0.048},{9844.00000, 3.100},{9849.70000, 1.000},{9852.20000, 3.000},{9854.80000, 0.052},{9857.80000, 1.134},{9857.90000, 1.000},{9858.00000, 5.698}","{9900.07, 0.05381875},{9900, 0.69524824},{9870, 0.09703539},{9869.9, 0.00256},{9862.377, 0.003933},{9850.947, 0.02003692},{9850, 0.250409},{9849, 0.01},{9848.638, 0.00217622},{9846.68, 0.00272}"
"3/7/2018 6:49:55 PM","Bitstamp","Btce","9843.96","9900.07","0.00354661","0.04146389","{9843.96, 0.10210000},{9862.84, 1.72000000},{9862.85, 1.00000000},{9865.62, 4.00000000},{9866.42, 0.93750000},{9870.60, 5.00000000},{9870.61, 14.58215684},{9872.33, 3.00000000},{9875.14, 0.04672499},{9877.54, 0.11396000}","{9900.07, 0.05381875},{9900, 0.69524824},{9870, 0.09703539},{9869.9, 0.00256},{9862.377, 0.003933},{9850.947, 0.02003692},{9850, 0.250409},{9849, 0.01},{9848.638, 0.00217622},{9846.68, 0.00272}"
"3/7/2018 6:50:02 PM","Bitfinex","Btce","9821.7","9900.07","0.00355642","0.13843885","{9821.7, 1.35125026},{9824, 0.4874},{9824.8, 2.0573},{9824.9, 1.12006403},{9825.9, 0.1513},{9826, 2.35},{9826.5, 0.08703587},{9827.2, 0.01040408},{9827.9, 2},{9832.4, 0.9882}","{9900.07, 0.05381875},{9900, 0.69524824},{9870, 0.09703539},{9869.9, 0.00256},{9862.377, 0.003933},{9850.947, 0.02003692},{9850, 0.250409},{9849, 0.01},{9848.638, 0.00217622},{9846.68, 0.00272}"
"3/7/2018 6:50:02 PM","Kraken","Btce","9832.00000","9900.07","0.00355057","0.08061976","{9832.00000, 5.990},{9833.50000, 0.500},{9833.60000, 0.090},{9833.70000, 0.489},{9836.00000, 3.399},{9842.20000, 1.282},{9843.70000, 0.240},{9843.90000, 0.509},{9844.00000, 3.100},{9845.20000, 0.399}","{9900.07, 0.05381875},{9900, 0.69524824},{9870, 0.09703539},{9869.9, 0.00256},{9862.377, 0.003933},{9850.947, 0.02003692},{9850, 0.250409},{9849, 0.01},{9848.638, 0.00217622},{9846.68, 0.00272}"
"3/7/2018 6:50:02 PM","Bitstamp","Btce","9843.96","9900.07","0.00354661","0.04146389","{9843.96, 0.10210000},{9858.63, 0.21185687},{9858.64, 0.70976311},{9858.67, 0.02000000},{9862.84, 1.72000000},{9862.85, 1.00000000},{9863.23, 12.22620000},{9865.62, 4.00000000},{9866.41, 1.05820000},{9868.33, 3.00000000}","{9900.07, 0.05381875},{9900, 0.69524824},{9870, 0.09703539},{9869.9, 0.00256},{9862.377, 0.003933},{9850.947, 0.02003692},{9850, 0.250409},{9849, 0.01},{9848.638, 0.00217622},{9846.68, 0.00272}"
"3/7/2018 6:50:08 PM","Bitfinex","Btce","9821.7","9900.07","0.00355642","0.13843885","{9821.7, 5.22477819},{9822, 0.4874},{9822.9, 0.065},{9824.7, 0.0863},{9826, 0.35},{9827.9, 2},{9832.3, 0.9},{9832.4, 1.9882},{9832.6, 0.2},{9833.8, 2}","{9900.07, 0.05381875},{9900, 0.69524824},{9870, 0.09703539},{9869.9, 0.00256},{9862.377, 0.003933},{9850.947, 0.02003692},{9850, 0.250409},{9849, 0.01},{9848.638, 0.00217622},{9846.68, 0.00272}"
"3/7/2018 6:50:08 PM","Kraken","Btce","9830.60000","9900.07","0.00355107","0.08561989","{9830.60000, 0.172},{9831.90000, 0.433},{9833.30000, 0.048},{9835.30000, 6.000},{9835.90000, 0.820},{9836.00000, 0.590},{9840.60000, 2.031},{9842.20000, 1.282},{9843.70000, 0.040},{9844.00000, 3.100}","{9900.07, 0.05381875},{9900, 0.69524824},{9870, 0.09703539},{9869.9, 0.00256},{9862.377, 0.003933},{9850.947, 0.02003692},{9850, 0.250409},{9849, 0.01},{9848.638, 0.00217622},{9846.68, 0.00272}"
